ID,Date,Address,City,State,Zip,Num of Units,Comments,Completion Status,Units Category,High Unit Count,Long,Lat
222,10/12/2022 11:02,1913 Meridian Ave ,South Pasadena,CA,91030,0,Connected to 708 Bonita,Tentative,,< 14 units,-118.157585,34.10264801
223,10/12/2022 11:06,1100 Maple St,South Pasadena,CA,91030,4,Also with 1940 Meridian Ave,Verified,4-6 units,< 14 units,-118.1567533,34.10161953
224,10/12/2022 11:28,2016 Meridian Ave,South Pasadena,CA,91030,11,None,Verified,10+ units,< 14 units,-118.1566016,34.10060899
225,10/12/2022 12:03,2014 Meridian Ave,South Pasadena,CA,91030,9,None,Verified,7-9 units,< 14 units,-118.1566172,34.10080917
226,10/12/2022 12:16,2004 Meridian Ave ,South Pasadena,CA,91030,3,Also with 2006 and 2008 Meridian Ave,Verified,1-3 units,< 14 units,-118.1566291,34.10097086
227,10/13/2022 3:23,1236 Huntington Dr,South Pasadena,CA,91030,9,None,Verified,7-9 units,< 14 units,-118.1548956,34.10281416
228,10/13/2022 3:33,1210 Huntington Dr ,South Pasadena,CA,91030,3,None,Verified,1-3 units,< 14 units,-118.1554087,34.1018489
229,10/13/2022 3:44,1206 Huntington Dr,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.1554934,34.10171102
230,10/13/2022 3:53,2035 Meridian Ave,South Pasadena,CA,91030,3,None,Verified,1-3 units,< 14 units,-118.156963,34.10029641
231,10/13/2022 3:55,2045 Meridian Ave,South Pasadena,CA,91030,3,None,Verified,1-3 units,< 14 units,-118.157025,34.09984523
232,10/13/2022 4:02,913 Valley View Rd,South Pasadena,CA,91030,3,Also with 2041 Meridian Ave,Verified,1-3 units,< 14 units,-118.1570135,34.09998662
233,11/14/2022 5:19,1714 Fair Oaks Ave ,South Pasadena,CA,91030,6,None,Verified,4-6 units,< 14 units,-118.1500964,34.10586523
234,10/14/2022 4:21,1700 Fair Oaks Ave,South Pasadena,CA,91030,27,"Also with 1702, 1704, and 1706 Fair Oaks Ave",Verified,10+ units,14+ units,-118.1501229,34.10623691
235,10/14/2022 4:55,1616 Fair Oaks Ave,South Pasadena,CA,91030,18,None,Verified,10+ units,14+ units,-118.1501017,34.10695106
236,10/29/2022 4:59,1612 Fair Oaks Ave,South Pasadena,CA,91030,12,None,Verified,10+ units,< 14 units,-118.1500964,34.10732122
237,10/14/2022 5:20,1600 Fair Oaks Ave,South Pasadena,CA,91030,4,"Also with 1602, 1604, and 1606 Fair Oaks Ave",Verified,4-6 units,< 14 units,-118.15006,34.10755067
238,10/14/2022 5:23,1628 Bank St,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.14896,34.110231
239,10/14/2022 5:33,1627 Lyndon St,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.148969,34.11076999
240,10/14/2022 5:41,1621 Lyndon St,South Pasadena,CA,91030,5,None,Verified,4-6 units,< 14 units,-118.14931,34.11074598
241,10/14/2022 5:47,711 Mound Ave ,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.1518958,34.11727052
242,10/14/2022 5:56,701 Mound Ave,South Pasadena,CA,91030,3,Also with 1419 and 1421 Magnolia St,Verified,1-3 units,< 14 units,-118.15203,34.11757698
